epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
146,61.414835,20,0,2.99393613e-01,2.92737762e-01,3.20607803e-01,3.19785768e-01,2.50000000e-04,745342
147,61.848713,20,0,2.98112978e-01,2.91347637e-01,3.18425199e-01,3.19319340e-01,2.50000000e-04,745342
148,61.538737,20,0,3.02176707e-01,2.95556456e-01,3.37215868e-01,3.34584980e-01,2.50000000e-04,745342
149,62.233127,20,0,2.99902976e-01,2.93250186e-01,3.14294147e-01,3.13390808e-01,2.50000000e-04,745342
150,60.683124,20,0,3.03635990e-01,2.96988697e-01,3.34352326e-01,3.31816953e-01,2.50000000e-04,745342
151,60.801198,20,0,3.04693965e-01,2.97936138e-01,3.14250411e-01,3.12392609e-01,2.50000000e-04,745342
152,61.329057,20,0,3.01005614e-01,2.94351442e-01,3.13671085e-01,3.13657482e-01,2.50000000e-04,745342
153,60.996578,20,0,3.08442150e-01,3.01767253e-01,3.19332161e-01,3.19238194e-01,2.50000000e-04,745342
154,60.845963,20,0,3.06378942e-01,2.99597328e-01,3.20347384e-01,3.20585486e-01,2.50000000e-04,745342
155,60.295276,20,0,2.98057968e-01,2.91319564e-01,3.36461502e-01,3.36217742e-01,2.50000000e-04,745342
156,59.508920,20,0,2.98835977e-01,2.92240263e-01,3.17345693e-01,3.17547544e-01,2.50000000e-04,745342
157,60.083589,20,0,2.99477584e-01,2.92814751e-01,3.15317450e-01,3.14678116e-01,2.50000000e-04,745342
158,59.838181,20,0,3.01164846e-01,2.94515181e-01,3.20227886e-01,3.17254204e-01,2.50000000e-04,745342
159,61.027969,20,0,2.96361558e-01,2.89628772e-01,3.36069908e-01,3.35183789e-01,2.50000000e-04,745342
160,60.243450,20,0,2.94119353e-01,2.87329412e-01,3.19953406e-01,3.19550581e-01,2.50000000e-04,745342
161,60.546949,20,0,2.95392774e-01,2.88747449e-01,3.20210783e-01,3.17902926e-01,2.50000000e-04,745342
162,59.591138,20,0,2.95898468e-01,2.89213076e-01,3.12387733e-01,3.11550977e-01,2.50000000e-04,745342
163,59.702746,20,0,2.95539461e-01,2.88841272e-01,3.13963454e-01,3.13613178e-01,2.50000000e-04,745342
164,57.751398,20,0,3.01954280e-01,2.95143553e-01,3.25540481e-01,3.24175688e-01,2.50000000e-04,745342
165,60.097875,20,0,2.94804297e-01,2.88029628e-01,3.21018040e-01,3.20620346e-01,2.50000000e-04,745342
166,60.214648,20,0,3.01966263e-01,2.95198073e-01,3.20917408e-01,3.19637946e-01,2.50000000e-04,745342
167,60.040014,20,0,2.89291139e-01,2.82506124e-01,3.17881393e-01,3.15601552e-01,2.50000000e-04,745342
168,59.577772,20,0,2.91006151e-01,2.84271262e-01,3.12066795e-01,3.11607435e-01,2.50000000e-04,745342
169,59.577076,20,0,2.99403695e-01,2.92585194e-01,3.12850859e-01,3.12212645e-01,2.50000000e-04,745342
170,59.593674,20,0,2.94731846e-01,2.87992604e-01,3.06544100e-01,3.06167829e-01,2.50000000e-04,745342
171,60.433377,20,0,2.91528034e-01,2.84713227e-01,3.07332895e-01,3.05183862e-01,2.50000000e-04,745342
172,60.961813,20,0,2.89944211e-01,2.83164040e-01,3.20904580e-01,3.18806901e-01,2.50000000e-04,745342
173,60.848606,20,0,2.93496009e-01,2.86764409e-01,3.22666094e-01,3.21163850e-01,2.50000000e-04,745342
174,60.821290,20,0,2.87428068e-01,2.80595740e-01,3.11853527e-01,3.08636807e-01,2.50000000e-04,745342
175,60.881069,20,0,2.94547157e-01,2.87686644e-01,3.15771042e-01,3.14499534e-01,2.50000000e-04,745342
176,61.120903,20,0,2.85214726e-01,2.78426792e-01,3.16382864e-01,3.15508881e-01,2.50000000e-04,745342
177,61.148507,20,0,2.82810439e-01,2.75999208e-01,3.08681961e-01,3.07781504e-01,2.50000000e-04,745342
178,60.472832,20,0,2.83428173e-01,2.76637044e-01,3.06243572e-01,3.05124967e-01,2.50000000e-04,745342
179,60.677596,20,0,2.83445350e-01,2.76565911e-01,3.11989983e-01,3.11823858e-01,2.50000000e-04,745342
180,60.005788,20,0,2.84850009e-01,2.77957702e-01,3.18268825e-01,3.15966321e-01,2.50000000e-04,745342
181,60.246443,20,0,2.87935652e-01,2.81124973e-01,3.07939316e-01,3.07404566e-01,2.50000000e-04,745342
182,60.467052,20,0,2.81049541e-01,2.74211667e-01,3.03823477e-01,3.03168874e-01,2.50000000e-04,745342
183,59.842870,20,0,2.79479038e-01,2.72606355e-01,3.02442110e-01,3.01024368e-01,2.50000000e-04,745342
184,60.110846,20,0,2.86436709e-01,2.79562574e-01,3.07296860e-01,3.07223066e-01,2.50000000e-04,745342
185,59.579557,20,0,2.87823897e-01,2.80903565e-01,3.04551210e-01,3.04403799e-01,2.50000000e-04,745342
186,60.246120,20,0,2.83517466e-01,2.76635139e-01,3.05307360e-01,3.04779128e-01,2.50000000e-04,745342
187,60.016958,20,0,2.82773147e-01,2.75848256e-01,3.13155733e-01,3.12102857e-01,2.50000000e-04,745342
188,60.794437,20,0,2.81203876e-01,2.74366177e-01,3.05734501e-01,3.04752727e-01,2.50000000e-04,745342
189,60.563979,20,0,2.85010102e-01,2.78127215e-01,3.46930290e-01,3.42623966e-01,2.50000000e-04,745342
190,60.675905,20,0,2.78892948e-01,2.72030050e-01,3.06476109e-01,3.05838958e-01,2.50000000e-04,745342
191,60.366660,20,0,2.79521476e-01,2.72598510e-01,3.06562548e-01,3.05244597e-01,2.50000000e-04,745342
192,60.110298,20,0,2.76927443e-01,2.70053424e-01,3.07978085e-01,3.07093204e-01,2.50000000e-04,745342
193,60.280331,20,0,2.79289366e-01,2.72407417e-01,3.19443525e-01,3.16872395e-01,2.50000000e-04,745342
194,60.377473,20,0,2.78289741e-01,2.71346822e-01,3.07775711e-01,3.08591999e-01,2.50000000e-04,745342
195,59.552900,20,0,2.80663916e-01,2.73763079e-01,3.51807772e-01,3.45394709e-01,2.50000000e-04,745342
196,60.022521,20,0,2.79765953e-01,2.72850291e-01,3.22466915e-01,3.18456357e-01,2.50000000e-04,745342
197,61.365000,20,0,2.79827514e-01,2.72856352e-01,3.07682141e-01,3.06906273e-01,2.50000000e-04,745342
198,60.033516,20,0,2.74976713e-01,2.68016677e-01,3.04658087e-01,3.03572545e-01,2.50000000e-04,745342
199,60.442785,20,0,2.81406002e-01,2.74454522e-01,3.09139434e-01,3.07934334e-01,1.25000000e-04,745342
200,60.120195,20,0,2.67112262e-01,2.60171889e-01,3.05401863e-01,3.03364701e-01,1.25000000e-04,745342
201,60.771250,20,0,2.64928273e-01,2.58070344e-01,3.01452116e-01,2.99785347e-01,1.25000000e-04,745342
202,60.222543,20,0,2.73051138e-01,2.66178078e-01,3.16220379e-01,3.13984463e-01,1.25000000e-04,745342
203,59.635038,20,0,2.65009494e-01,2.58094256e-01,2.98782709e-01,2.97945249e-01,1.25000000e-04,745342
204,59.627703,20,0,2.63698141e-01,2.56760741e-01,3.00415940e-01,2.99633132e-01,1.25000000e-04,745342
205,60.176440,20,0,2.68456274e-01,2.61532047e-01,2.99771541e-01,2.97600304e-01,1.25000000e-04,745342
206,59.683612,20,0,2.63973733e-01,2.57020611e-01,2.99141567e-01,2.97695484e-01,1.25000000e-04,745342
207,60.589579,20,0,2.62617975e-01,2.55612074e-01,2.98003795e-01,2.97045555e-01,1.25000000e-04,745342
208,59.957970,20,0,2.70195703e-01,2.63163117e-01,3.01620488e-01,2.99725977e-01,1.25000000e-04,745342
209,60.246304,20,0,2.64729116e-01,2.57777892e-01,2.96964309e-01,2.96194869e-01,1.25000000e-04,745342
210,60.076355,20,0,2.65893290e-01,2.58930610e-01,2.99739504e-01,2.98830051e-01,1.25000000e-04,745342
211,60.416507,20,0,2.61608442e-01,2.54649150e-01,3.01376400e-01,2.99294790e-01,1.25000000e-04,745342
212,60.447077,20,0,2.64801240e-01,2.57838619e-01,2.97356687e-01,2.96033827e-01,1.25000000e-04,745342
213,60.408168,20,0,2.63317073e-01,2.56328681e-01,3.10580460e-01,3.09224293e-01,1.25000000e-04,745342
214,59.858845,20,0,2.61782382e-01,2.54819768e-01,2.97832865e-01,2.97738793e-01,1.25000000e-04,745342
215,59.940192,20,0,2.57642482e-01,2.50638840e-01,2.97425158e-01,2.95973823e-01,1.25000000e-04,745342
