epoch,seconds,horizon,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
224,0.299813,1,1.01485346e-03,1.01345854e-03,,4.35712519e-02,2.50000000e-04,124581
225,0.289334,1,1.01179161e-03,1.01040849e-03,,4.33662145e-02,2.50000000e-04,124581
226,0.297520,1,1.01365919e-03,1.01225818e-03,,4.31898157e-02,2.50000000e-04,124581
227,0.291733,1,1.03037930e-03,1.02880806e-03,,4.45816484e-02,2.50000000e-04,124581
228,0.299764,1,1.01484684e-03,1.01316661e-03,,4.48189165e-02,2.50000000e-04,124581
229,0.292923,1,1.01056826e-03,1.00920591e-03,,4.41299391e-02,2.50000000e-04,124581
230,0.298461,1,1.01403145e-03,1.01255338e-03,,4.38796048e-02,2.50000000e-04,124581
231,0.292150,1,1.01001859e-03,1.00846312e-03,,4.44117166e-02,2.50000000e-04,124581
232,0.298323,1,1.01729489e-03,1.01601556e-03,,4.46839774e-02,2.50000000e-04,124581
233,0.291504,1,1.03134535e-03,1.02980270e-03,,4.27454664e-02,2.50000000e-04,124581
234,0.297044,1,1.01587876e-03,1.01416694e-03,,4.29221231e-02,2.50000000e-04,124581
235,0.290921,1,1.01374230e-03,1.01239809e-03,,4.28308345e-02,2.50000000e-04,124581
236,0.297855,1,1.01545875e-03,1.01413416e-03,,4.28205654e-02,2.50000000e-04,124581
237,0.293080,1,1.00578121e-03,1.00450761e-03,,4.24887216e-02,2.50000000e-04,124581
238,0.297284,1,1.01147500e-03,1.00998351e-03,,4.39497340e-02,2.50000000e-04,124581
239,0.290922,1,1.00431800e-03,1.00291776e-03,,4.29889897e-02,2.50000000e-04,124581
240,0.298660,1,1.00478588e-03,1.00342558e-03,,4.30300890e-02,2.50000000e-04,124581
241,0.293257,1,1.01088672e-03,1.00960073e-03,,4.39638108e-02,2.50000000e-04,124581
242,0.297270,1,1.00657876e-03,1.00532138e-03,,4.51425524e-02,2.50000000e-04,124581
243,0.293160,1,1.00492717e-03,1.00364588e-03,,4.46585804e-02,2.50000000e-04,124581
244,0.297774,1,9.95882431e-04,9.94596475e-04,,4.27988368e-02,2.50000000e-04,124581
245,0.293743,1,9.89602338e-04,9.88352126e-04,,4.32212165e-02,2.50000000e-04,124581
246,0.289216,1,1.00057350e-03,9.99203812e-04,,4.56070189e-02,2.50000000e-04,124581
247,0.299406,1,1.00645794e-03,1.00515254e-03,,4.59546155e-02,2.50000000e-04,124581
248,0.291759,1,9.91250662e-04,9.90071457e-04,,4.29860976e-02,2.50000000e-04,124581
249,0.297854,1,1.00300849e-03,1.00158643e-03,,4.33662991e-02,2.50000000e-04,124581
250,0.291999,1,1.01260339e-03,1.01135154e-03,,4.81850684e-02,2.50000000e-04,124581
251,0.298652,1,1.00663798e-03,1.00534059e-03,,4.42751670e-02,2.50000000e-04,124581
252,0.291620,1,9.89554857e-04,9.88145126e-04,,4.22333169e-02,2.50000000e-04,124581
253,0.294896,1,9.92845279e-04,9.91469637e-04,,4.42268065e-02,2.50000000e-04,124581
254,0.290917,1,9.99799465e-04,9.98373102e-04,,4.49930686e-02,2.50000000e-04,124581
255,0.297406,1,9.96486659e-04,9.95018075e-04,,4.25144327e-02,2.50000000e-04,124581
256,0.291012,1,9.88738017e-04,9.87159965e-04,,4.47186527e-02,2.50000000e-04,124581
257,0.301323,1,9.96684942e-04,9.95032452e-04,,4.50069472e-02,2.50000000e-04,124581
258,0.291378,1,9.92499763e-04,9.91180615e-04,,4.40799502e-02,2.50000000e-04,124581
259,0.298702,1,9.84751375e-04,9.83566303e-04,,4.29274717e-02,2.50000000e-04,124581
260,0.290894,1,9.84261398e-04,9.82980155e-04,,4.36632353e-02,2.50000000e-04,124581
261,0.297838,1,9.81564175e-04,9.80366132e-04,,4.60619605e-02,2.50000000e-04,124581
