nohup: ignoring input
epoch 0197 | 109.33s | horizon 30 | fallback 00 | train 9.422653e-04 | test 3.605401e-02
epoch 0198 | 109.23s | horizon 30 | fallback 00 | train 9.137899e-04 | test 4.157334e-02
epoch 0199 | 109.16s | horizon 30 | fallback 00 | train 9.212655e-04 | test 5.272449e-02
epoch 0200 | 143.09s | horizon 40 | fallback 00 | train 3.201687e-03 | test 3.681106e-02
epoch 0201 | 143.69s | horizon 40 | fallback 00 | train 1.907920e-03 | test 3.183277e-02
epoch 0202 | 143.86s | horizon 40 | fallback 00 | train 1.522069e-03 | test 3.354853e-02
epoch 0203 | 143.19s | horizon 40 | fallback 00 | train 1.421595e-03 | test 3.334468e-02
epoch 0204 | 142.70s | horizon 40 | fallback 00 | train 1.385474e-03 | test 4.357746e-02
epoch 0205 | 141.17s | horizon 40 | fallback 00 | train 1.355195e-03 | test 2.778325e-02
epoch 0206 | 141.29s | horizon 40 | fallback 00 | train 1.381904e-03 | test 2.900990e-02
epoch 0207 | 150.33s | horizon 40 | fallback 00 | train 1.387183e-03 | test 3.146754e-02
epoch 0208 | 143.88s | horizon 40 | fallback 00 | train 1.324981e-03 | test 3.139184e-02
epoch 0209 | 144.39s | horizon 40 | fallback 00 | train 1.250615e-03 | test 2.852965e-02
epoch 0210 | 143.40s | horizon 40 | fallback 00 | train 1.232054e-03 | test 3.030837e-02
epoch 0211 | 142.89s | horizon 40 | fallback 00 | train 1.312845e-03 | test 3.576184e-02
epoch 0212 | 141.57s | horizon 40 | fallback 00 | train 1.219330e-03 | test 2.926706e-02
epoch 0213 | 143.61s | horizon 40 | fallback 00 | train 1.281661e-03 | test 2.892032e-02
epoch 0214 | 142.42s | horizon 40 | fallback 00 | train 1.265379e-03 | test 3.321424e-02
epoch 0215 | 143.09s | horizon 40 | fallback 00 | train 1.277547e-03 | test 2.993231e-02
epoch 0216 | 140.59s | horizon 40 | fallback 00 | train 1.140783e-03 | test 2.896411e-02
epoch 0217 | 145.77s | horizon 40 | fallback 00 | train 1.196542e-03 | test 2.739440e-02
epoch 0218 | 142.28s | horizon 40 | fallback 00 | train 1.283042e-03 | test 3.648715e-02
epoch 0219 | 142.66s | horizon 40 | fallback 00 | train 1.167234e-03 | test 2.889817e-02
epoch 0220 | 144.58s | horizon 40 | fallback 00 | train 1.067372e-03 | test 2.711604e-02
epoch 0221 | 146.12s | horizon 40 | fallback 00 | train 1.093593e-03 | test 2.989126e-02
epoch 0222 | 146.39s | horizon 40 | fallback 00 | train 1.131494e-03 | test 3.094382e-02
epoch 0223 | 144.29s | horizon 40 | fallback 00 | train 1.300955e-03 | test 3.102017e-02
epoch 0224 | 143.23s | horizon 40 | fallback 00 | train 1.154305e-03 | test 3.246650e-02
epoch 0225 | 145.91s | horizon 40 | fallback 00 | train 1.198832e-03 | test 3.021392e-02
epoch 0226 | 146.72s | horizon 40 | fallback 00 | train 1.213957e-03 | test 2.806377e-02
epoch 0227 | 145.67s | horizon 40 | fallback 00 | train 1.085880e-03 | test 2.671181e-02
epoch 0228 | 145.61s | horizon 40 | fallback 00 | train 1.029011e-03 | test 3.158192e-02
epoch 0229 | 144.86s | horizon 40 | fallback 00 | train 1.264289e-03 | test 2.838251e-02
epoch 0230 | 146.07s | horizon 40 | fallback 00 | train 1.179157e-03 | test 2.685346e-02
epoch 0231 | 145.79s | horizon 40 | fallback 00 | train 1.247951e-03 | test 3.301200e-02
epoch 0232 | 146.37s | horizon 40 | fallback 00 | train 1.170234e-03 | test 2.683447e-02
epoch 0233 | 145.75s | horizon 40 | fallback 00 | train 1.223059e-03 | test 3.265676e-02
epoch 0234 | 144.60s | horizon 40 | fallback 00 | train 1.237285e-03 | test 3.243150e-02
epoch 0235 | 144.61s | horizon 40 | fallback 00 | train 1.244275e-03 | test 3.099667e-02
epoch 0236 | 143.64s | horizon 40 | fallback 00 | train 1.150346e-03 | test 2.769487e-02
epoch 0237 | 144.98s | horizon 40 | fallback 00 | train 1.294937e-03 | test 3.027690e-02
epoch 0238 | 145.08s | horizon 40 | fallback 00 | train 1.288038e-03 | test 2.790547e-02
epoch 0239 | 145.09s | horizon 40 | fallback 00 | train 1.300212e-03 | test 2.892501e-02
epoch 0240 | 144.50s | horizon 40 | fallback 00 | train 1.216206e-03 | test 2.753895e-02
epoch 0241 | 143.57s | horizon 40 | fallback 00 | train 1.252919e-03 | test 2.820162e-02
epoch 0242 | 144.92s | horizon 40 | fallback 00 | train 1.216188e-03 | test 2.796697e-02
epoch 0243 | 145.47s | horizon 40 | fallback 00 | train 1.261948e-03 | test 2.939458e-02
epoch 0244 | 142.18s | horizon 40 | fallback 00 | train 1.159302e-03 | test 2.712343e-02
epoch 0245 | 142.32s | horizon 40 | fallback 00 | train 1.222434e-03 | test 2.663175e-02
epoch 0246 | 143.75s | horizon 40 | fallback 00 | train 1.195613e-03 | test 3.360538e-02
epoch 0247 | 145.17s | horizon 40 | fallback 00 | train 1.319672e-03 | test 2.807000e-02
epoch 0248 | 144.28s | horizon 40 | fallback 00 | train 1.263965e-03 | test 3.578499e-02
epoch 0249 | 140.78s | horizon 40 | fallback 00 | train 1.170313e-03 | test 2.824262e-02
epoch 0250 | 144.24s | horizon 40 | fallback 00 | train 1.159736e-03 | test 2.770161e-02
epoch 0251 | 143.92s | horizon 40 | fallback 00 | train 1.267929e-03 | test 2.865655e-02
epoch 0252 | 142.17s | horizon 40 | fallback 00 | train 1.162133e-03 | test 2.904451e-02
epoch 0253 | 144.79s | horizon 40 | fallback 00 | train 1.135612e-03 | test 2.755620e-02
epoch 0254 | 143.72s | horizon 40 | fallback 00 | train 1.024613e-03 | test 2.781678e-02
epoch 0255 | 148.78s | horizon 40 | fallback 00 | train 1.384149e-03 | test 3.166596e-02
epoch 0256 | 142.66s | horizon 40 | fallback 00 | train 1.084016e-03 | test 2.677404e-02
epoch 0257 | 142.64s | horizon 40 | fallback 00 | train 1.199976e-03 | test 2.794029e-02
epoch 0258 | 143.12s | horizon 40 | fallback 00 | train 1.149044e-03 | test 3.014181e-02
epoch 0259 | 142.44s | horizon 40 | fallback 00 | train 1.182597e-03 | test 2.921190e-02
epoch 0260 | 145.93s | horizon 40 | fallback 00 | train 1.228939e-03 | test 3.699412e-02
epoch 0261 | 144.28s | horizon 40 | fallback 00 | train 1.073312e-03 | test 2.752026e-02
epoch 0262 | 145.31s | horizon 40 | fallback 00 | train 1.085008e-03 | test 2.692105e-02
epoch 0263 | 144.11s | horizon 40 | fallback 00 | train 1.047170e-03 | test 3.257564e-02
epoch 0264 | 145.94s | horizon 40 | fallback 00 | train 1.302223e-03 | test 3.040305e-02
epoch 0265 | 145.62s | horizon 40 | fallback 00 | train 1.223645e-03 | test 2.845202e-02
epoch 0266 | 145.04s | horizon 40 | fallback 00 | train 1.090466e-03 | test 2.674494e-02
epoch 0267 | 144.37s | horizon 40 | fallback 00 | train 1.059421e-03 | test 2.721410e-02
epoch 0268 | 142.12s | horizon 40 | fallback 00 | train 1.057347e-03 | test 2.723826e-02
epoch 0269 | 145.45s | horizon 40 | fallback 00 | train 1.070780e-03 | test 2.611809e-02
epoch 0270 | 145.69s | horizon 40 | fallback 00 | train 1.061570e-03 | test 2.722427e-02
epoch 0271 | 144.66s | horizon 40 | fallback 00 | train 1.000727e-03 | test 2.762398e-02
epoch 0272 | 146.83s | horizon 40 | fallback 00 | train 1.420810e-03 | test 2.866569e-02
epoch 0273 | 148.15s | horizon 40 | fallback 00 | train 1.120956e-03 | test 2.666012e-02
epoch 0274 | 147.28s | horizon 40 | fallback 00 | train 1.067923e-03 | test 2.556314e-02
epoch 0275 | 146.51s | horizon 40 | fallback 00 | train 9.890876e-04 | test 2.757838e-02
epoch 0276 | 145.72s | horizon 40 | fallback 00 | train 1.166380e-03 | test 2.998029e-02
epoch 0277 | 144.39s | horizon 40 | fallback 00 | train 1.412443e-03 | test 2.963424e-02
epoch 0278 | 143.87s | horizon 40 | fallback 00 | train 1.265860e-03 | test 3.149404e-02
epoch 0279 | 145.71s | horizon 40 | fallback 00 | train 1.219056e-03 | test 2.652137e-02
epoch 0280 | 145.49s | horizon 40 | fallback 00 | train 1.078271e-03 | test 2.651591e-02
epoch 0281 | 144.18s | horizon 40 | fallback 00 | train 1.025997e-03 | test 2.613046e-02
epoch 0282 | 145.29s | horizon 40 | fallback 00 | train 9.977596e-04 | test 2.758554e-02
epoch 0283 | 145.74s | horizon 40 | fallback 00 | train 1.219125e-03 | test 3.210933e-02
