nohup: ignoring input
epoch 0243 | 0.29s | horizon 01 | train 1.004927e-03 | test 4.465858e-02
epoch 0244 | 0.30s | horizon 01 | train 9.958824e-04 | test 4.279884e-02
epoch 0245 | 0.29s | horizon 01 | train 9.896023e-04 | test 4.322122e-02
epoch 0246 | 0.29s | horizon 01 | train 1.000573e-03 | test 4.560702e-02
epoch 0247 | 0.30s | horizon 01 | train 1.006458e-03 | test 4.595462e-02
epoch 0248 | 0.29s | horizon 01 | train 9.912507e-04 | test 4.298610e-02
epoch 0249 | 0.30s | horizon 01 | train 1.003008e-03 | test 4.336630e-02
epoch 0250 | 0.29s | horizon 01 | train 1.012603e-03 | test 4.818507e-02
epoch 0251 | 0.30s | horizon 01 | train 1.006638e-03 | test 4.427517e-02
epoch 0252 | 0.29s | horizon 01 | train 9.895549e-04 | test 4.223332e-02
epoch 0253 | 0.29s | horizon 01 | train 9.928453e-04 | test 4.422681e-02
epoch 0254 | 0.29s | horizon 01 | train 9.997995e-04 | test 4.499307e-02
epoch 0255 | 0.30s | horizon 01 | train 9.964867e-04 | test 4.251443e-02
epoch 0256 | 0.29s | horizon 01 | train 9.887380e-04 | test 4.471865e-02
epoch 0257 | 0.30s | horizon 01 | train 9.966849e-04 | test 4.500695e-02
epoch 0258 | 0.29s | horizon 01 | train 9.924998e-04 | test 4.407995e-02
epoch 0259 | 0.30s | horizon 01 | train 9.847514e-04 | test 4.292747e-02
epoch 0260 | 0.29s | horizon 01 | train 9.842614e-04 | test 4.366324e-02
epoch 0261 | 0.30s | horizon 01 | train 9.815642e-04 | test 4.606196e-02
epoch 0262 | 0.29s | horizon 01 | train 9.890942e-04 | test 4.279480e-02
epoch 0263 | 0.30s | horizon 01 | train 9.791841e-04 | test 4.291734e-02
epoch 0264 | 0.29s | horizon 01 | train 9.784040e-04 | test 4.306657e-02
epoch 0265 | 0.30s | horizon 01 | train 9.872143e-04 | test 4.560439e-02
epoch 0266 | 0.29s | horizon 01 | train 9.877436e-04 | test 4.486171e-02
epoch 0267 | 0.30s | horizon 01 | train 9.793114e-04 | test 4.233461e-02
epoch 0268 | 0.29s | horizon 01 | train 9.825550e-04 | test 4.468204e-02
epoch 0269 | 0.30s | horizon 01 | train 9.820840e-04 | test 4.206371e-02
