nohup: ignoring input
epoch 0243 | 59.32s | horizon 20 | fallback 00 | train 2.568592e-01 | test 2.981275e-01
epoch 0244 | 59.02s | horizon 20 | fallback 00 | train 2.567302e-01 | test 2.945154e-01
epoch 0245 | 59.57s | horizon 20 | fallback 00 | train 2.550266e-01 | test 2.929999e-01
epoch 0246 | 59.64s | horizon 20 | fallback 00 | train 2.594364e-01 | test 2.979535e-01
epoch 0247 | 59.19s | horizon 20 | fallback 00 | train 2.570467e-01 | test 2.928143e-01
epoch 0248 | 59.20s | horizon 20 | fallback 00 | train 2.558512e-01 | test 2.936414e-01
epoch 0249 | 60.27s | horizon 20 | fallback 00 | train 2.636309e-01 | test 2.918997e-01
epoch 0250 | 60.09s | horizon 20 | fallback 00 | train 2.565585e-01 | test 2.948057e-01
epoch 0251 | 60.08s | horizon 20 | fallback 00 | train 2.583249e-01 | test 2.926806e-01
epoch 0252 | 59.90s | horizon 20 | fallback 00 | train 2.554495e-01 | test 2.971076e-01
epoch 0253 | 59.41s | horizon 20 | fallback 00 | train 2.580269e-01 | test 2.977222e-01
epoch 0254 | 59.19s | horizon 20 | fallback 00 | train 2.605604e-01 | test 2.923265e-01
epoch 0255 | 59.70s | horizon 20 | fallback 00 | train 2.555203e-01 | test 3.010210e-01
epoch 0256 | 59.57s | horizon 20 | fallback 00 | train 2.583595e-01 | test 2.916263e-01
epoch 0257 | 59.97s | horizon 20 | fallback 00 | train 2.547505e-01 | test 2.998744e-01
epoch 0258 | 59.11s | horizon 20 | fallback 00 | train 2.544897e-01 | test 3.000226e-01
epoch 0259 | 59.73s | horizon 20 | fallback 00 | train 2.567041e-01 | test 3.032701e-01
epoch 0260 | 59.63s | horizon 20 | fallback 00 | train 2.553220e-01 | test 3.030430e-01
epoch 0261 | 60.19s | horizon 20 | fallback 00 | train 2.565883e-01 | test 3.019686e-01
epoch 0262 | 60.23s | horizon 20 | fallback 00 | train 2.556917e-01 | test 2.902823e-01
epoch 0263 | 59.68s | horizon 20 | fallback 00 | train 2.592104e-01 | test 2.927581e-01
epoch 0264 | 60.08s | horizon 20 | fallback 00 | train 2.547666e-01 | test 2.955613e-01
epoch 0265 | 60.45s | horizon 20 | fallback 00 | train 2.591177e-01 | test 2.971295e-01
epoch 0266 | 60.70s | horizon 20 | fallback 00 | train 2.619650e-01 | test 2.958817e-01
epoch 0267 | 59.91s | horizon 20 | fallback 00 | train 2.555714e-01 | test 2.930756e-01
epoch 0268 | 60.89s | horizon 20 | fallback 00 | train 2.571933e-01 | test 2.950298e-01
epoch 0269 | 60.60s | horizon 20 | fallback 00 | train 2.546311e-01 | test 2.924679e-01
epoch 0270 | 60.93s | horizon 20 | fallback 00 | train 2.544262e-01 | test 2.899847e-01
epoch 0271 | 60.45s | horizon 20 | fallback 00 | train 2.546497e-01 | test 2.921997e-01
epoch 0272 | 61.50s | horizon 20 | fallback 00 | train 2.520133e-01 | test 2.927728e-01
epoch 0273 | 60.57s | horizon 20 | fallback 00 | train 2.554163e-01 | test 2.920192e-01
epoch 0274 | 59.97s | horizon 20 | fallback 00 | train 2.534397e-01 | test 2.986890e-01
epoch 0275 | 59.88s | horizon 20 | fallback 00 | train 2.576716e-01 | test 2.990005e-01
epoch 0276 | 59.46s | horizon 20 | fallback 00 | train 2.553766e-01 | test 2.956586e-01
epoch 0277 | 60.01s | horizon 20 | fallback 00 | train 2.578658e-01 | test 2.895514e-01
epoch 0278 | 60.47s | horizon 20 | fallback 00 | train 2.530172e-01 | test 2.927601e-01
epoch 0279 | 61.45s | horizon 20 | fallback 00 | train 2.535311e-01 | test 2.915132e-01
epoch 0280 | 60.51s | horizon 20 | fallback 00 | train 2.520239e-01 | test 3.030647e-01
epoch 0281 | 61.51s | horizon 20 | fallback 00 | train 2.568114e-01 | test 2.914598e-01
epoch 0282 | 60.87s | horizon 20 | fallback 00 | train 2.565399e-01 | test 2.908502e-01
epoch 0283 | 59.87s | horizon 20 | fallback 00 | train 2.557951e-01 | test 3.178926e-01
