nohup: ignoring input
epoch 0211 | 111.49s | horizon 40 | train 1.538028e-02 | val 1.48927339e-02
epoch 0212 | 110.44s | horizon 40 | train 1.447020e-02 | val 1.40723985e-02
epoch 0213 | 113.65s | horizon 40 | train 1.471939e-02 | val 1.43762133e-02
epoch 0214 | 110.55s | horizon 40 | train 1.439395e-02 | val 1.54552525e-02
epoch 0215 | 113.39s | horizon 40 | train 1.449019e-02 | val 1.40026253e-02
epoch 0216 | 112.59s | horizon 40 | train 1.500060e-02 | val 1.42034242e-02
epoch 0217 | 114.04s | horizon 40 | train 1.638985e-02 | val 1.56903509e-02
epoch 0218 | 113.75s | horizon 40 | train 1.557386e-02 | val 1.43766471e-02
epoch 0219 | 111.28s | horizon 40 | train 1.505307e-02 | val 1.37230442e-02
epoch 0220 | 110.99s | horizon 40 | train 1.550964e-02 | val 1.51582666e-02
epoch 0221 | 111.21s | horizon 40 | train 1.563101e-02 | val 1.48584068e-02
epoch 0222 | 112.68s | horizon 40 | train 1.578541e-02 | val 1.48775046e-02
epoch 0223 | 111.82s | horizon 40 | train 1.592821e-02 | val 1.49877097e-02
epoch 0224 | 110.91s | horizon 40 | train 1.598915e-02 | val 1.50432894e-02
epoch 0225 | 110.69s | horizon 40 | train 1.606033e-02 | val 1.52514655e-02
epoch 0226 | 111.82s | horizon 40 | train 1.612716e-02 | val 1.53165144e-02
epoch 0227 | 112.46s | horizon 40 | train 1.619565e-02 | val 1.52985868e-02
epoch 0228 | 112.62s | horizon 40 | train 1.622288e-02 | val 1.54233251e-02
epoch 0229 | 108.70s | horizon 40 | train 1.633293e-02 | val 1.52451627e-02
epoch 0230 | 114.60s | horizon 40 | train 1.633372e-02 | val 1.52057029e-02
epoch 0231 | 111.74s | horizon 40 | train 1.637194e-02 | val 1.58131561e-02
epoch 0232 | 114.79s | horizon 40 | train 1.776939e-02 | val 1.67766912e-02
epoch 0233 | 112.65s | horizon 40 | train 1.634272e-02 | val 1.40796129e-02
epoch 0234 | 115.73s | horizon 40 | train 1.460680e-02 | val 1.45223767e-02
epoch 0235 | 112.58s | horizon 40 | train 1.619693e-02 | val 1.71855275e-02
epoch 0236 | 112.76s | horizon 40 | train 1.605412e-02 | val 1.80539915e-02
epoch 0237 | 113.26s | horizon 40 | train 1.616753e-02 | val 1.81889529e-02
epoch 0238 | 112.49s | horizon 40 | train 1.624580e-02 | val 1.77044602e-02
epoch 0239 | 115.46s | horizon 40 | train 1.629442e-02 | val 1.76791983e-02
epoch 0240 | 116.31s | horizon 40 | train 1.676996e-02 | val 2.71901911e-02
epoch 0241 | 111.24s | horizon 40 | train 1.748322e-02 | val 1.93913808e-02
epoch 0242 | 110.92s | horizon 40 | train 1.863784e-02 | val 1.86200591e-02
epoch 0243 | 112.17s | horizon 40 | train 1.823383e-02 | val 1.61824196e-02
epoch 0244 | 112.14s | horizon 40 | train 1.701789e-02 | val 1.67180397e-02
epoch 0245 | 114.47s | horizon 40 | train 1.469694e-02 | val 1.41100025e-02
epoch 0246 | 110.62s | horizon 40 | train 1.454677e-02 | val 1.43381518e-02
epoch 0247 | 110.66s | horizon 40 | train 1.461273e-02 | val 1.46152771e-02
epoch 0248 | 113.08s | horizon 40 | train 1.459331e-02 | val 1.40508481e-02
epoch 0249 | 114.50s | horizon 40 | train 1.459823e-02 | val 1.43531497e-02
epoch 0250 | 113.29s | horizon 40 | train 1.466079e-02 | val 1.53688765e-02
epoch 0251 | 112.37s | horizon 40 | train 1.465671e-02 | val 1.41905822e-02
epoch 0252 | 110.95s | horizon 40 | train 1.569303e-02 | val 2.07012655e-02
epoch 0253 | 113.32s | horizon 40 | train 1.461034e-02 | val 1.63795296e-02
epoch 0254 | 113.03s | horizon 40 | train 1.442435e-02 | val 1.38192616e-02
epoch 0255 | 111.46s | horizon 40 | train 1.450383e-02 | val 1.44187097e-02
epoch 0256 | 113.30s | horizon 40 | train 1.452299e-02 | val 1.54762895e-02
epoch 0257 | 111.69s | horizon 40 | train 1.457092e-02 | val 1.38219073e-02
epoch 0258 | 112.58s | horizon 40 | train 1.457037e-02 | val 1.41913837e-02
epoch 0259 | 112.28s | horizon 40 | train 1.461248e-02 | val 1.50911050e-02
epoch 0260 | 113.21s | horizon 40 | train 1.514765e-02 | val 1.44368851e-02
epoch 0261 | 112.85s | horizon 40 | train 1.664271e-02 | val 1.44364721e-02
epoch 0262 | 113.72s | horizon 40 | train 1.443878e-02 | val 1.45775148e-02
epoch 0263 | 115.62s | horizon 40 | train 1.445001e-02 | val 1.51235494e-02
epoch 0264 | 113.47s | horizon 40 | train 1.455406e-02 | val 1.38727944e-02
epoch 0265 | 111.24s | horizon 40 | train 1.456163e-02 | val 1.36631776e-02
epoch 0266 | 112.80s | horizon 40 | train 1.468088e-02 | val 1.42409667e-02
epoch 0267 | 111.63s | horizon 40 | train 1.512660e-02 | val 1.43061490e-02
epoch 0268 | 114.74s | horizon 40 | train 1.431426e-02 | val 1.40191897e-02
epoch 0269 | 113.16s | horizon 40 | train 1.442802e-02 | val 1.51018879e-02
epoch 0270 | 111.60s | horizon 40 | train 1.451759e-02 | val 1.43226761e-02
epoch 0271 | 112.70s | horizon 40 | train 1.585365e-02 | val 1.62478391e-02
epoch 0272 | 107.22s | horizon 40 | train 1.827582e-02 | val 2.24294049e-02
epoch 0273 | 106.03s | horizon 40 | train 1.895939e-02 | val 2.23775677e-02
