nohup: ignoring input
epoch 0277 | 0.19s | horizon 01 | train 1.080652e-02 | val 1.06641793e-02
epoch 0278 | 0.19s | horizon 01 | train 9.549852e-03 | val 9.24883902e-03
epoch 0279 | 0.19s | horizon 01 | train 8.853982e-03 | val 9.74612802e-03
epoch 0280 | 0.20s | horizon 01 | train 8.754068e-03 | val 9.38883185e-03
epoch 0281 | 0.22s | horizon 01 | train 8.602585e-03 | val 9.31084543e-03
epoch 0282 | 0.22s | horizon 01 | train 8.414229e-03 | val 9.52977687e-03
epoch 0283 | 0.23s | horizon 01 | train 8.438704e-03 | val 1.05686373e-02
epoch 0284 | 0.22s | horizon 01 | train 9.749193e-03 | val 1.03313154e-02
epoch 0285 | 0.21s | horizon 01 | train 9.842952e-03 | val 1.12151277e-02
epoch 0286 | 0.21s | horizon 01 | train 1.032262e-02 | val 9.65242624e-03
epoch 0287 | 0.21s | horizon 01 | train 9.134915e-03 | val 1.09407425e-02
epoch 0288 | 0.21s | horizon 01 | train 9.270432e-03 | val 9.45906878e-03
epoch 0289 | 0.21s | horizon 01 | train 9.192014e-03 | val 9.62603271e-03
epoch 0290 | 0.20s | horizon 01 | train 8.939021e-03 | val 9.97334778e-03
epoch 0291 | 0.21s | horizon 01 | train 8.840228e-03 | val 1.14128858e-02
epoch 0292 | 0.21s | horizon 01 | train 9.900499e-03 | val 9.66042876e-03
epoch 0293 | 0.21s | horizon 01 | train 9.369908e-03 | val 9.99180257e-03
epoch 0294 | 0.21s | horizon 01 | train 9.161390e-03 | val 1.09640387e-02
epoch 0295 | 0.21s | horizon 01 | train 9.299911e-03 | val 1.05056164e-02
epoch 0296 | 0.21s | horizon 01 | train 1.008557e-02 | val 1.11124772e-02
epoch 0297 | 0.19s | horizon 01 | train 9.739225e-03 | val 9.77211177e-03
epoch 0298 | 0.18s | horizon 01 | train 9.656820e-03 | val 1.32981920e-02
epoch 0299 | 0.20s | horizon 01 | train 1.107793e-02 | val 1.23890537e-02
epoch 0300 | 0.22s | horizon 01 | train 9.652261e-03 | val 9.24340576e-03
epoch 0301 | 0.22s | horizon 01 | train 8.332226e-03 | val 9.09523487e-03
epoch 0302 | 0.22s | horizon 01 | train 9.115969e-03 | val 8.88153791e-03
epoch 0303 | 0.22s | horizon 01 | train 8.377033e-03 | val 8.87195110e-03
epoch 0304 | 0.23s | horizon 01 | train 8.276752e-03 | val 8.91404748e-03
epoch 0305 | 0.22s | horizon 01 | train 8.144324e-03 | val 8.89189988e-03
epoch 0306 | 0.22s | horizon 01 | train 8.410679e-03 | val 8.94797117e-03
epoch 0307 | 0.22s | horizon 01 | train 8.330675e-03 | val 8.72430027e-03
epoch 0308 | 0.22s | horizon 01 | train 7.951890e-03 | val 8.79775941e-03
epoch 0309 | 0.22s | horizon 01 | train 7.878750e-03 | val 8.71604770e-03
epoch 0310 | 0.23s | horizon 01 | train 7.956817e-03 | val 9.07331109e-03
epoch 0311 | 0.23s | horizon 01 | train 8.397687e-03 | val 8.86049330e-03
epoch 0312 | 0.22s | horizon 01 | train 8.137215e-03 | val 8.89770448e-03
epoch 0313 | 0.22s | horizon 01 | train 7.930384e-03 | val 8.51425976e-03
epoch 0314 | 0.23s | horizon 01 | train 7.785364e-03 | val 8.51457000e-03
epoch 0315 | 0.21s | horizon 01 | train 7.994876e-03 | val 8.56259584e-03
epoch 0316 | 0.21s | horizon 01 | train 7.889150e-03 | val 8.79281610e-03
epoch 0317 | 0.21s | horizon 01 | train 7.808445e-03 | val 8.65174085e-03
epoch 0318 | 0.21s | horizon 01 | train 7.803742e-03 | val 8.48384738e-03
epoch 0319 | 0.21s | horizon 01 | train 7.812622e-03 | val 8.75436306e-03
epoch 0320 | 0.21s | horizon 01 | train 7.831935e-03 | val 8.91127646e-03
