nohup: ignoring input
epoch 0276 | 0.25s | horizon 01 | train 8.333162e-03 | val n/a
epoch 0277 | 0.25s | horizon 01 | train 8.204202e-03 | val n/a
epoch 0278 | 0.39s | horizon 01 | train 8.569982e-03 | val n/a
epoch 0279 | 0.34s | horizon 01 | train 8.404554e-03 | val n/a
epoch 0280 | 0.25s | horizon 01 | train 8.625157e-03 | val n/a
epoch 0281 | 0.26s | horizon 01 | train 9.640551e-03 | val n/a
epoch 0282 | 0.24s | horizon 01 | train 8.518076e-03 | val n/a
epoch 0283 | 0.24s | horizon 01 | train 9.531822e-03 | val n/a
epoch 0284 | 0.25s | horizon 01 | train 9.185569e-03 | val n/a
epoch 0285 | 0.31s | horizon 01 | train 8.774012e-03 | val n/a
epoch 0286 | 0.24s | horizon 01 | train 8.272127e-03 | val n/a
epoch 0287 | 0.25s | horizon 01 | train 8.210592e-03 | val n/a
epoch 0288 | 0.30s | horizon 01 | train 8.728598e-03 | val n/a
epoch 0289 | 0.27s | horizon 01 | train 9.499651e-03 | val n/a
epoch 0290 | 0.29s | horizon 01 | train 8.696021e-03 | val n/a
epoch 0291 | 0.26s | horizon 01 | train 9.052688e-03 | val n/a
epoch 0292 | 0.37s | horizon 01 | train 8.694715e-03 | val n/a
epoch 0293 | 0.31s | horizon 01 | train 8.591957e-03 | val n/a
epoch 0294 | 0.29s | horizon 01 | train 9.025595e-03 | val n/a
epoch 0295 | 0.26s | horizon 01 | train 8.296453e-03 | val n/a
epoch 0296 | 0.24s | horizon 01 | train 7.848715e-03 | val n/a
epoch 0297 | 0.29s | horizon 01 | train 8.528282e-03 | val n/a
epoch 0298 | 0.26s | horizon 01 | train 8.419029e-03 | val n/a
epoch 0299 | 0.28s | horizon 01 | train 8.393933e-03 | val n/a
epoch 0300 | 0.29s | horizon 01 | train 7.790722e-03 | val n/a
epoch 0301 | 0.24s | horizon 01 | train 7.393843e-03 | val n/a
epoch 0302 | 0.26s | horizon 01 | train 7.288373e-03 | val n/a
epoch 0303 | 0.26s | horizon 01 | train 7.426205e-03 | val n/a
epoch 0304 | 0.27s | horizon 01 | train 7.657450e-03 | val n/a
epoch 0305 | 0.28s | horizon 01 | train 7.438700e-03 | val n/a
epoch 0306 | 0.29s | horizon 01 | train 7.333994e-03 | val n/a
epoch 0307 | 0.36s | horizon 01 | train 7.332234e-03 | val n/a
epoch 0308 | 0.24s | horizon 01 | train 7.247721e-03 | val n/a
epoch 0309 | 0.25s | horizon 01 | train 7.362090e-03 | val n/a
epoch 0310 | 0.35s | horizon 01 | train 7.263723e-03 | val n/a
epoch 0311 | 0.28s | horizon 01 | train 7.279371e-03 | val n/a
epoch 0312 | 0.27s | horizon 01 | train 7.191096e-03 | val n/a
epoch 0313 | 0.24s | horizon 01 | train 7.240939e-03 | val n/a
epoch 0314 | 0.28s | horizon 01 | train 7.449104e-03 | val n/a
epoch 0315 | 0.29s | horizon 01 | train 7.369767e-03 | val n/a
epoch 0316 | 0.33s | horizon 01 | train 7.371809e-03 | val n/a
epoch 0317 | 0.25s | horizon 01 | train 7.249598e-03 | val n/a
epoch 0318 | 0.27s | horizon 01 | train 7.480439e-03 | val n/a
epoch 0319 | 0.25s | horizon 01 | train 7.451255e-03 | val n/a
epoch 0320 | 0.30s | horizon 01 | train 7.365922e-03 | val n/a
epoch 0321 | 0.27s | horizon 01 | train 7.302590e-03 | val n/a
epoch 0322 | 0.24s | horizon 01 | train 7.222469e-03 | val n/a
epoch 0323 | 0.28s | horizon 01 | train 7.281103e-03 | val n/a
epoch 0324 | 0.37s | horizon 01 | train 7.281545e-03 | val n/a
epoch 0325 | 0.46s | horizon 01 | train 7.380152e-03 | val n/a
epoch 0326 | 0.31s | horizon 01 | train 7.313314e-03 | val n/a
epoch 0327 | 0.25s | horizon 01 | train 7.270763e-03 | val n/a
epoch 0328 | 0.30s | horizon 01 | train 7.198962e-03 | val n/a
epoch 0329 | 0.36s | horizon 01 | train 7.201953e-03 | val n/a
epoch 0330 | 0.38s | horizon 01 | train 7.262502e-03 | val n/a
epoch 0331 | 0.39s | horizon 01 | train 7.243628e-03 | val n/a
epoch 0332 | 0.29s | horizon 01 | train 7.361240e-03 | val n/a
epoch 0333 | 0.28s | horizon 01 | train 7.298431e-03 | val n/a
epoch 0334 | 0.25s | horizon 01 | train 7.558586e-03 | val n/a
epoch 0335 | 0.25s | horizon 01 | train 7.666444e-03 | val n/a
epoch 0336 | 0.26s | horizon 01 | train 7.400745e-03 | val n/a
epoch 0337 | 0.25s | horizon 01 | train 7.289501e-03 | val n/a
epoch 0338 | 0.32s | horizon 01 | train 7.404445e-03 | val n/a
epoch 0339 | 0.26s | horizon 01 | train 7.484233e-03 | val n/a
epoch 0340 | 0.24s | horizon 01 | train 7.335132e-03 | val n/a
epoch 0341 | 0.24s | horizon 01 | train 7.539443e-03 | val n/a
epoch 0342 | 0.37s | horizon 01 | train 7.672521e-03 | val n/a
epoch 0343 | 0.24s | horizon 01 | train 7.608341e-03 | val n/a
epoch 0344 | 0.25s | horizon 01 | train 7.369221e-03 | val n/a
epoch 0345 | 0.25s | horizon 01 | train 7.610630e-03 | val n/a
epoch 0346 | 0.29s | horizon 01 | train 7.689766e-03 | val n/a
epoch 0347 | 0.27s | horizon 01 | train 7.380025e-03 | val n/a
epoch 0348 | 0.24s | horizon 01 | train 7.369910e-03 | val n/a
epoch 0349 | 0.25s | horizon 01 | train 7.198271e-03 | val n/a
epoch 0350 | 0.26s | horizon 01 | train 7.413200e-03 | val n/a
epoch 0351 | 0.29s | horizon 01 | train 7.498005e-03 | val n/a
epoch 0352 | 0.26s | horizon 01 | train 7.414945e-03 | val n/a
epoch 0353 | 0.29s | horizon 01 | train 7.400360e-03 | val n/a
epoch 0354 | 0.24s | horizon 01 | train 7.480099e-03 | val n/a
epoch 0355 | 0.41s | horizon 01 | train 7.544419e-03 | val n/a
