nohup: ignoring input
epoch 0246 | 86.56s | horizon 40 | train 3.010301e-02 | val 2.82985669e-02
epoch 0247 | 85.46s | horizon 40 | train 3.123277e-02 | val 3.28563729e-02
epoch 0248 | 84.86s | horizon 40 | train 2.974143e-02 | val 3.02313620e-02
epoch 0249 | 91.60s | horizon 40 | train 3.045107e-02 | val 2.79977630e-02
epoch 0250 | 84.78s | horizon 40 | train 3.101691e-02 | val 3.02323215e-02
epoch 0251 | 85.95s | horizon 40 | train 3.009130e-02 | val 2.75237177e-02
epoch 0252 | 84.06s | horizon 40 | train 2.781653e-02 | val 2.65566611e-02
epoch 0253 | 85.81s | horizon 40 | train 3.146904e-02 | val 3.15210778e-02
epoch 0254 | 84.52s | horizon 40 | train 3.138402e-02 | val 3.75103559e-02
epoch 0255 | 85.35s | horizon 40 | train 2.910189e-02 | val 3.00933155e-02
epoch 0256 | 87.16s | horizon 40 | train 3.024039e-02 | val 2.70573716e-02
epoch 0257 | 86.55s | horizon 40 | train 3.047948e-02 | val 2.66065446e-02
epoch 0258 | 85.22s | horizon 40 | train 2.922872e-02 | val 4.17043380e-02
epoch 0259 | 84.22s | horizon 40 | train 3.237964e-02 | val 3.87691727e-02
epoch 0260 | 82.87s | horizon 40 | train 3.111661e-02 | val 2.80714773e-02
epoch 0261 | 88.39s | horizon 40 | train 3.191164e-02 | val 3.04457007e-02
epoch 0262 | 86.69s | horizon 40 | train 2.923294e-02 | val 2.74113511e-02
epoch 0263 | 85.73s | horizon 40 | train 2.867299e-02 | val 2.58481986e-02
epoch 0264 | 86.76s | horizon 40 | train 3.049948e-02 | val 3.11770302e-02
epoch 0265 | 86.60s | horizon 40 | train 3.071970e-02 | val 3.54447190e-02
epoch 0266 | 89.48s | horizon 40 | train 3.216242e-02 | val 3.37593690e-02
epoch 0267 | 87.24s | horizon 40 | train 3.092101e-02 | val 2.73668602e-02
epoch 0268 | 85.22s | horizon 40 | train 2.998618e-02 | val 2.81430413e-02
epoch 0269 | 86.20s | horizon 40 | train 2.911127e-02 | val 2.53493233e-02
epoch 0270 | 85.77s | horizon 40 | train 2.751053e-02 | val 2.76192765e-02
epoch 0271 | 86.22s | horizon 40 | train 2.903456e-02 | val 2.88292038e-02
epoch 0272 | 84.75s | horizon 40 | train 2.883569e-02 | val 2.69204645e-02
epoch 0273 | 86.56s | horizon 40 | train 2.817192e-02 | val 2.71932419e-02
epoch 0274 | 84.98s | horizon 40 | train 3.084277e-02 | val 3.04311012e-02
epoch 0275 | 85.34s | horizon 40 | train 3.064080e-02 | val 2.55137570e-02
epoch 0276 | 85.08s | horizon 40 | train 2.913706e-02 | val 2.56464635e-02
epoch 0277 | 86.25s | horizon 40 | train 3.077286e-02 | val 3.17792167e-02
